path,category,fully read?,execution/test evidence,audit owner,findings,not reviewed reason
"docs/FYP_Report_2026-07-01_humanized.docx","current report artifact","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"docs/FYP_Report_2026-07-01_v5.docx","current report artifact","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"docs/FYP_Thesis_2026-07-02_humanized.docx","current report artifact","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"docs/FYP_Thesis_2026-07-02_v4.docx","current report artifact","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"ethical_benchmark/__init__.py","source","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"ethical_benchmark/analysis/__init__.py","source","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"ethical_benchmark/analysis/compare_quant_pairs.py","source","yes","Direct review; relevant gate/test output","Codex + independent workstream","See EXECUTIVE_AUDIT and related ledger",""
"ethical_benchmark/analysis/refusal_margin.py","source","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"ethical_benchmark/benchmarks/__init__.py","source","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"ethical_benchmark/benchmarks/arc.py","source","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"ethical_benchmark/benchmarks/base.py","source","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"ethical_benchmark/benchmarks/harmbench.py","source","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"ethical_benchmark/benchmarks/mmlu.py","source","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"ethical_benchmark/benchmarks/registry.py","source","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"ethical_benchmark/benchmarks/utils.py","source","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"ethical_benchmark/benchmarks/xstest.py","source","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"ethical_benchmark/cluster/__init__.py","source","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"ethical_benchmark/cluster/check_runs.py","source","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"ethical_benchmark/cluster/generate_jobs.py","source","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"ethical_benchmark/cluster/submit_jobs.py","source","yes","Direct review; relevant gate/test output","Codex + independent workstream","See EXECUTIVE_AUDIT and related ledger",""
"ethical_benchmark/config_schema.py","source","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"ethical_benchmark/constants.py","source","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"ethical_benchmark/datasets/__init__.py","source","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"ethical_benchmark/datasets/bias.py","source","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"ethical_benchmark/datasets/factuality.py","source","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"ethical_benchmark/datasets/toxicity.py","source","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"ethical_benchmark/evaluators/__init__.py","source","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"ethical_benchmark/evaluators/bias_eval.py","source","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"ethical_benchmark/evaluators/factuality_eval.py","source","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"ethical_benchmark/evaluators/toxicity_eval.py","source","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"ethical_benchmark/harness/__init__.py","source","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"ethical_benchmark/harness/agent.py","source","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"ethical_benchmark/judges/__init__.py","source","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"ethical_benchmark/judges/validation.py","source","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"ethical_benchmark/metrics/__init__.py","source","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"ethical_benchmark/metrics/aggregate.py","source","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"ethical_benchmark/models/__init__.py","source","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"ethical_benchmark/models/generation.py","source","yes","Direct review; relevant gate/test output","Codex + independent workstream","See EXECUTIVE_AUDIT and related ledger",""
"ethical_benchmark/models/loader.py","source","yes","Direct review; relevant gate/test output","Codex + independent workstream","See EXECUTIVE_AUDIT and related ledger",""
"ethical_benchmark/pipeline/__init__.py","source","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"ethical_benchmark/pipeline/run_benchmark.py","source","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"ethical_benchmark/pipeline/run_quant_benchmark.py","source","yes","Direct review; relevant gate/test output","Codex + independent workstream","See EXECUTIVE_AUDIT and related ledger",""
"ethical_benchmark/pipeline/run_quant_matrix.py","source","yes","Direct review; relevant gate/test output","Codex + independent workstream","See EXECUTIVE_AUDIT and related ledger",""
"ethical_benchmark/quant/__init__.py","source","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"ethical_benchmark/quant/config_schema.py","source","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"scripts/agent_check.py","script/analysis/harness","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"scripts/build_agent_harness_architecture_doc.py","report/document builder","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"scripts/build_agentic_report.js","report/document builder","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"scripts/build_fyp_interim.js","report/document builder","yes","Direct review; relevant gate/test output","Codex + independent workstream","See EXECUTIVE_AUDIT and related ledger",""
"scripts/build_fyp_interim_humanized.js","report/document builder","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"scripts/build_fyp_report.js","report/document builder","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"scripts/build_fyp_report_humanized.js","report/document builder","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"scripts/build_fyp_report_v2.js","report/document builder","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"scripts/build_fyp_report_v3.js","report/document builder","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"scripts/build_fyp_report_v4.js","report/document builder","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"scripts/build_fyp_report_v5.js","report/document builder","yes","Direct review; relevant gate/test output","Codex + independent workstream","See EXECUTIVE_AUDIT and related ledger",""
"scripts/build_fyp_thesis.js","report/document builder","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"scripts/build_fyp_thesis_humanized.js","report/document builder","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"scripts/build_fyp_thesis_v2.js","report/document builder","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"scripts/build_fyp_thesis_v3.js","report/document builder","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"scripts/build_fyp_thesis_v4.js","report/document builder","yes","Direct review; relevant gate/test output","Codex + independent workstream","See EXECUTIVE_AUDIT and related ledger",""
"scripts/capture_refusal_margin.py","script/analysis/harness","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"scripts/generate_agent_dashboard.py","script/analysis/harness","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"scripts/generate_agent_harness_architecture_diagram.py","script/analysis/harness","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"scripts/generate_architecture_diagram.py","script/analysis/harness","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"scripts/generate_handoff.py","script/analysis/harness","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"scripts/generate_integrated_architecture_diagram.py","script/analysis/harness","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"scripts/generate_repo_hierarchy_diagram.py","script/analysis/harness","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"scripts/generate_sensitivity_jobs.py","script/analysis/harness","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"scripts/generate_tc1_checklist.py","script/analysis/harness","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"scripts/genlen_512_analysis.py","script/analysis/harness","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"scripts/harmbench_category_breakdown.py","script/analysis/harness","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"scripts/harness_eval.py","script/analysis/harness","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"scripts/human_label_audit.py","script/analysis/harness","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"scripts/judge_agreement.py","script/analysis/harness","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"scripts/judge_pairwise_agreement.py","script/analysis/harness","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"scripts/make_figures.py","script/analysis/harness","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"scripts/mmlu_subject_breakdown.py","script/analysis/harness","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"scripts/multiple_comparisons.py","script/analysis/harness","yes","Direct review; relevant gate/test output","Codex + independent workstream","See EXECUTIVE_AUDIT and related ledger",""
"scripts/number_bible_512.py","script/analysis/harness","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"scripts/precision_sweep_analysis.py","script/analysis/harness","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"scripts/prefetch_tc1.py","script/analysis/harness","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"scripts/refusal_margin_analysis.py","script/analysis/harness","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"scripts/rescore_harmbench.py","script/analysis/harness","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"scripts/run_judge_validation.py","script/analysis/harness","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"scripts/sensitivity_analysis.py","script/analysis/harness","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"scripts/verify_report_claims.py","script/analysis/harness","yes","Direct review; relevant gate/test output","Codex + independent workstream","See EXECUTIVE_AUDIT and related ledger",""
"slurm/capture_refusal_margin.sbatch","SLURM/job metadata","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"slurm/check_status.json","SLURM/job metadata","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"slurm/cuda_check.sbatch","SLURM/job metadata","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"slurm/jobs/manifest.json","SLURM/job metadata","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"slurm/jobs/submitted_jobs.json","SLURM/job metadata","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"slurm/jobs_tc1/llama_3_2_3b_4bit__matrix.sbatch","SLURM/job metadata","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"slurm/jobs_tc1/llama_3_2_3b_base__matrix.sbatch","SLURM/job metadata","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"slurm/jobs_tc1/manifest.json","SLURM/job metadata","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"slurm/jobs_tc1/mistral_7b_4bit__matrix.sbatch","SLURM/job metadata","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"slurm/jobs_tc1/mistral_7b_base__matrix.sbatch","SLURM/job metadata","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"slurm/jobs_tc1/phi4_mini_4bit__matrix.sbatch","SLURM/job metadata","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"slurm/jobs_tc1/phi4_mini_base__matrix.sbatch","SLURM/job metadata","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"slurm/jobs_tc1/qwen_2b_4bit__matrix.sbatch","SLURM/job metadata","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"slurm/jobs_tc1/qwen_2b_base__matrix.sbatch","SLURM/job metadata","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"slurm/jobs_tc1/qwen_4b_4bit__matrix.sbatch","SLURM/job metadata","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"slurm/jobs_tc1/qwen_4b_base__matrix.sbatch","SLURM/job metadata","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"slurm/jobs_tc1_512/llama_3_2_3b_4bit__matrix.sbatch","SLURM/job metadata","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"slurm/jobs_tc1_512/llama_3_2_3b_base__matrix.sbatch","SLURM/job metadata","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"slurm/jobs_tc1_512/manifest.json","SLURM/job metadata","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"slurm/jobs_tc1_512/mistral_7b_4bit__matrix.sbatch","SLURM/job metadata","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"slurm/jobs_tc1_512/mistral_7b_base__matrix.sbatch","SLURM/job metadata","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"slurm/jobs_tc1_512/phi4_mini_4bit__matrix.sbatch","SLURM/job metadata","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"slurm/jobs_tc1_512/phi4_mini_base__matrix.sbatch","SLURM/job metadata","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"slurm/jobs_tc1_512/qwen_2b_4bit__matrix.sbatch","SLURM/job metadata","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"slurm/jobs_tc1_512/qwen_2b_base__matrix.sbatch","SLURM/job metadata","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"slurm/jobs_tc1_512/qwen_4b_4bit__matrix.sbatch","SLURM/job metadata","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
"slurm/jobs_tc1_512/qwen_4b_base__matrix.sbatch","SLURM/job metadata","no","Inventory; static/targeted review where relevant; pytest suite executed","Codex + independent workstream","No individual line-complete claim; see UNRESOLVED_OR_UNVERIFIED","Not line-completely reviewed in this pass"
